name,price,position
Luka Doncic,5,PG
Joel Embiid,5,C
Giannis Antetokounmpo,5,PF
Nikola Jokic,5,C
Shai Gilgeous-Alexander,5,PG
Domantas Sabonis,4,C
LeBron James,5,PF
Anthony Davis,5,C
Jayson Tatum,5,PF
Trae Young,4,PG
Jalen Brunson,4,PG
Ja Morant,4,PG
Kevin Durant,5,PF
Devin Booker,5,PG
Julius Randle,4,PF
Donovan Mitchell,4,SG
LaMelo Ball,4,PG
De'Aaron Fox,4,PG
Anthony Edwards,5,SG
Stephen Curry,5,PG
Victor Wembanyama,4,C
Tyrese Maxey,4,PG
Kyrie Irving,4,SG
Damian Lillard,4,PG
Alperen Sengun,3,C
Tyrese Haliburton,4,PG
Paolo Banchero,4,PF
Cade Cunningham,3,PG
Dejounte Murray,4,SG
Scottie Barnes,3,SF
Zion Williamson,4,PF
DeMar DeRozan,4,SF
Desmond Bane,3,SG
Bam Adebayo,4,C
Kawhi Leonard,5,SF
Lauri Markkanen,4,PF
Karl-Anthony Towns,4,PF
Pascal Siakam,4,PF
Kyle Kuzma,3,PF
Jaylen Brown,4,SF
Nikola Vucevic,3,C
Jamal Murray,4,PG
Anfernee Simons,3,SG
Miles Bridges,3,SF
Brandon Ingram,4,SF
Paul George,4,PF
Jimmy Butler,4,SF
Tyler Herro,3,SG
Jaren Jackson Jr.,4,C
James Harden,4,PG
Jarrett Allen,3,C
Deandre Ayton,3,C
Terry Rozier,3,SG
Kristaps Porzi??is,3,C
Fred VanVleet,3,PG
CJ McCollum,3,PG
RJ Barrett,3,SG
Franz Wagner,3,SF
Coby White,3,PG
Cam Thomas,3,SG
Zach LaVine,4,SG
Jalen Green,3,SG
Jalen Johnson,2,SF
Evan Mobley,4,PF
Rudy Gobert,4,C
Jalen Duren,3,C
Mikal Bridges,3,SF
Jalen Williams,3,SF
Bradley Beal,3,SG
D'Angelo Russell,3,PG
Devin Vassell,3,SG
Jerami Grant,3,PF
Darius Garland,3,PG
Chet Holmgren,3,C
Tobias Harris,3,PF
Collin Sexton,3,SG
Jusuf Nurki?,2,C
Deni Avdija,3,SF
Immanuel Quickley,3,SG
Austin Reaves,3,SG
Jordan Clarkson,3,SG
Myles Turner,3,C
Michael Porter Jr.,4,SF
Khris Middleton,4,SF
Malcolm Brogdon,3,PG
John Collins,3,PF
Derrick White,3,SG
Jordan Poole,2,SG
Keldon Johnson,3,SF
Brandon Miller,2,SF
Aaron Gordon,3,PF
Shaedon Sharpe,2,SG
Nic Claxton,2,C
Mark Williams,2,C
Josh Giddey,2,SG
Malik Monk,3,SG
Bogdan Bogdanovic,3,SG
Klay Thompson,3,SF
Jabari Smith Jr.,2,PF
Clint Capela,2,C
Caris LeVert,2,SG
Dennis Schroder,2,PG
Jonas Valanciunas,2,C
Jonathan Kuminga,2,PF
Jrue Holiday,4,PG
Jaden Ivey,2,SG
Scoot Henderson,2,PG
Bobby Portis,2,PF
Keegan Murray,3,SF
Ivica Zubac,2,C
Jakob Poeltl,2,C
Tyus Jones,2,PG
Kelly Oubre Jr.,2,SF
Draymond Green,3,PF
Donte DiVincenzo,3,SG
Trey Murphy III,2,SF
Josh Hart,3,SF
Saddiq Bey,1,SF
Jeremy Sochan,2,PF
Marcus Smart,3,PG
Max Strus,2,SF
De'Andre Hunter,2,SF
OG Anunoby,3,SF
Scotty Pippen Jr.,1,PG
Russell Westbrook,2,PG
Bennedict Mathurin,2,SF
Grayson Allen,2,SG
P.J. Washington,2,PF
Keyonte George,1,PG
Javonte Green,1,SF
Mike Conley,3,PG
Daniel Gafford,2,C
Cameron Johnson,2,PF
Naz Reid,2,C
Tre Jones,1,PG
GG Jackson II,1,PF
Chris Paul,2,PG
Ben Simmons,1,PG
Wendell Carter Jr.,2,C
Bojan Bogdanovic,2,SF
Kelly Olynyk,2,C
Andrew Wiggins,3,SF
Zach Collins,2,C
Tim Hardaway Jr.,2,SF
Brook Lopez,3,C
Isaiah Stewart,1,PF
Rui Hachimura,2,PF
Marvin Bagley III,1,C
Vince Williams Jr.,1,SG
Amen Thompson,1,SF
Santi Aldama,1,PF
Brandin Podziemski,1,SG
Isaiah Hartenstein,2,C
Nick Richards,1,C
T.J. McConnell,1,PG
Onyeka Okongwu,1,C
Jalen Suggs,1,SG
Cole Anthony,1,PG
Jaime Jaquez Jr.,1,SF
Duncan Robinson,1,SF
Ayo Dosunmu,1,SG
Brandon Clarke,1,PF
Corey Kispert,1,SF
Buddy Hield,2,SG
Gary Trent Jr.,2,SG
Tari Eason,1,PF
Bruce Brown,2,SG
Spencer Dinwiddie,1,PG
Andre Drummond,1,C
De'Anthony Melton,1,SG
Dillon Brooks,2,SF
Al Horford,2,C
Norman Powell,2,SG
Aaron Nesmith,1,SF
Alex Caruso,2,SG
Luke Kennard,1,SG
Herbert Jones,1,SF
Ausar Thompson,1,SF
Kevin Love,1,PF
Tre Mann,1,PG
Jabari Walker,1,SF
Cam Whitmore,1,SF
Grant Williams,2,PF
Dereck Lively II,1,C
Caleb Martin,1,SF
Walker Kessler,2,C
Gordon Hayward,2,SF
Harrison Barnes,2,PF
Jalen Smith,1,C
Moritz Wagner,1,C
Kevin Huerter,2,SG
Malik Beasley,1,SG
Payton Pritchard,1,PG
Jake LaRavia,1,PF
Dalano Banton,1,PG
Talen Horton-Tucker,1,PG
Luguentz Dort,2,SF
Reggie Jackson,1,PG
Obi Toppin,2,PF
Simone Fontecchio,1,SF
Kyle Lowry,1,PG
Precious Achiuwa,1,PF
Andrew Nembhard,1,PG
Patrick Williams,1,PF
Royce O'Neale,1,SF
Cody Martin,1,SF
Josh Richardson,1,SG
Jaden McDaniels,3,SF
Kentavious Caldwell-Pope,2,SG
Eric Gordon,1,SG
Dorian Finney-Smith,2,PF
Mitchell Robinson,2,C
Paul Reed,1,C
Killian Hayes,1,PG
Day'Ron Sharpe,1,C
Isaac Okoro,1,SF
Bilal Coulibaly,1,SF
Trayce Jackson-Davis,1,C
Kyle Anderson,2,PF
Alec Burks,1,SG
Robert Williams,1,C
Georges Niang,1,PF
Markelle Fultz,1,PG
Nikola Jovic,1,PF
Terance Mann,1,SG
Josh Green,1,SG
Duop Reath,1,C
Toumani Camara,1,PF
Jordan Goodwin,1,PG
Sam Hauser,1,SF
Taurean Prince,1,PF
Tristan Vukcevic,1,C
Dante Exum,1,PG
Marcus Sasser,1,PG
Trey Jemison,1,C
James Wiseman,1,C
Malaki Branham,1,PG
Ziaire Williams,1,SF
Lonnie Walker IV,1,SG
Dennis Smith Jr.,1,PG
Derrick Rose,1,PG
Christian Wood,1,PF
Derrick Jones Jr.,1,SF
Trey Lyles,1,PF
Vasilije Mici?,1,PG
Taylor Hendricks,1,PF
Christian Braun,1,SG
Naji Marshall,1,SF
Larry Nance Jr.,1,C
DeJon Jarreau,1,SG
Nickeil Alexander-Walker,1,SG
Brice Sensabaugh,1,SF
Zavier Simpson,1,PG
Dyson Daniels,1,PG
Patrick Beverley,1,PG
Kris Dunn,1,PG
RaiQuan Gray,1,PF
Kevon Looney,1,C
Javon Freeman-Liberty,1,PG
Moses Moody,1,SG
Gradey Dick,1,SG
Jonathan Isaac,1,PF
Isaiah Joe,1,SG
Sam Merrill,1,SG
Nicolas Batum,1,PF
Mason Plumlee,1,C
Bruno Fernando,1,C
Cameron Payne,1,PG
Jose Alvarado,1,PG
Miles McBride,1,PG
Isaiah Jackson,1,C
Daniel Theis,1,C
Lamar Stevens,1,PF
Trendon Watford,1,PF
Chimezie Metu,1,C
Jarred Vanderbilt,2,PF
Jordan Hawkins,1,SG
Jordan Nwora,1,SF
Chris Boucher,1,PF
David Roddy,1,PF
Jahmi'us Ramsey,1,SG
Julian Champagnie,1,SF
Kris Murray,1,SF
Peyton Watson,1,SF
John Konchar,1,SF
Cedi Osman,1,SF
Bones Hyland,1,PG
Torrey Craig,1,SF
Goga Bitadze,1,C
Bismack Biyombo,1,C
Pat Connaughton,1,SF
Jared Butler,1,SG
Jae Crowder,1,PF
Justin Champagnie,1,SF
Xavier Tillman Sr.,1,PF
Cason Wallace,1,SG
Neemias Queta,1,C
Jaden Hardy,1,SG
Luke Kornet,1,C
Aaron Wiggins,1,SG
Tosan Evbuomwan,1,SF
Haywood Highsmith,1,PF
Kevin Knox,1,SF
Quentin Grimes,1,SG
David Duke Jr.,1,SG
Dean Wade,1,PF
Evan Fournier,1,SG
Drew Eubanks,1,C
Gary Harris,1,SG
Johnny Juzang,1,SG
Richaun Holmes,1,C
Noah Clowney,1,PF
Craig Porter Jr.,1,PG
Thomas Bryant,1,C
Aaron Holiday,1,PG
Marcus Morris,1,PF
Jontay Porter,1,PF
Amir Coffey,1,SF
Kobi Simmons,1,PG
Jeff Green,1,PF
Ochai Agbaji,1,SG
Aleksej Pokusevski,1,PF
Landry Shamet,1,SG
Omer Yurtseven,1,C
Jaylen Nowell,1,SG
Joe Ingles,1,SF
Ashton Hagans,1,PG
Maxi Kleber,1,C
Mo Bamba,1,C
Darius Bazley,1,PF
Jock Landale,1,C
Gary Payton II,2,SG
Keon Ellis,1,SG
Kenrich Williams,1,PF
Jalen Wilson,1,PF
Malachi Flynn,1,PG
Danilo Gallinari,1,PF
DeAndre Jordan,1,C
Wenyen Gabriel,1,PF
Thaddeus Young,1,PF
Jaylin Williams,1,C
Matisse Thybulle,1,SF
Dominick Barlow,1,PF
Delon Wright,1,PG
Monte Morris,1,PG
Bol Bol,1,PF
Dexter Dennis,1,SG
Jacob Gilyard,1,PG
Blake Wesley,1,SG
Devonte' Graham,1,PG
Robert Covington,1,PF
Nick Smith Jr.,1,SG
Cam Reddish,1,SF
Davion Mitchell,1,PG
Malik Williams,1,C
Patrick Baldwin Jr.,1,SF
Charles Bassey,1,C
Sandro Mamukelashvili,1,C
Ish Smith,1,PG
Mouhamed Gueye,1,PF
Kobe Bufkin,1,SG
Jeff Dowtin,1,PG
Josh Okogie,1,SG
Keon Johnson,1,SG
Isaiah Livers,1,PF
Sasha Vezenkov,1,PF
Jae'Sean Tate,1,SF
Dwight Powell,1,C
Adama Sanogo,1,PF
Kenneth Lofton Jr.,1,PF
Rayan Rupert,1,SG
Anthony Black,1,PG
Tristan Thompson,1,C
Stanley Umude,1,SG
Jaxson Hayes,1,C
Taze Moore,1,SG
Bryce McGowens,1,SG
Seth Curry,1,SG
Jared Rhoden,1,SG
Troy Brown Jr.,1,SF
Moses Brown,1,C
Eugene Omoruyi,1,SF
Matt Ryan,1,SF
Doug McDermott,1,SF
Skylar Mays,1,PG
Dru Smith,1,SG
Oshae Brissett,1,SF
Lester Quinones,1,SG
Ricky Council IV,1,SG
Shake Milton,1,SG
Max Christie,1,SG
Brandon Boston Jr.,1,SF
JaVale McGee,1,C
MarJon Beauchamp,1,SF
Jevon Carter,1,PG
Timmy Allen,1,SF
D.J. Wilson,1,PF
Ben Sheppard,1,SG
Garrison Mathews,1,SG
Marques Bolden,1,C
Dalen Terry,1,SG
Gui Santos,1,PF
Alex Len,1,C
Patty Mills,1,PG
Boban Marjanovic,1,C
Gabe Vincent,1,PG
Jalen McDaniels,1,SF
Yuta Watanabe,1,SF
P.J. Tucker,1,PF
Reggie Bullock,1,SF
Taj Gibson,1,PF
Joe Harris,1,SG
AJ Griffin,1,SF
Usman Garuba,1,PF
Isaiah Thomas,1,PG
Thanasis Antetokounmpo,1,PF
